date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:59	28765/28765	---M--	200	added ('OK')	image/png	etag:%226229c589-705d%22	https://templates.hibootstrap.com/naon/default/assets/images/book/book-shape2.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/book/book-shape2.png	(from https://templates.hibootstrap.com/naon/default/index-3.html)
22:48:59	27138/27138	---M--	200	added ('OK')	image/png	etag:%226229c591-6a02%22	https://templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner1.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner1.png	(from https://templates.hibootstrap.com/naon/default/about.html)
22:49:00	30111/30111	---M--	200	added ('OK')	image/png	etag:%226229c592-759f%22	https://templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner3.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner3.png	(from https://templates.hibootstrap.com/naon/default/testimonials.html)
22:49:00	3999/3999	---M--	200	added ('OK')	image/jpeg	etag:%226229c5a1-12bf%22	https://templates.hibootstrap.com/naon/default/assets/images/testimonial/testimonial-img5.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/testimonial/testimonial-img5.jpg	(from https://templates.hibootstrap.com/naon/default/testimonials.html)
22:49:00	5200/5200	---M--	200	added ('OK')	image/jpeg	etag:%226229c5a1-1450%22	https://templates.hibootstrap.com/naon/default/assets/images/testimonial/testimonial-img6.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/testimonial/testimonial-img6.jpg	(from https://templates.hibootstrap.com/naon/default/testimonials.html)
22:49:00	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Dec%202022%2017:49:00%20GMT	https://templates.hibootstrap.com/naon/default/blog-1.html	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/blog-1.html	(from https://templates.hibootstrap.com/naon/default/testimonials.html)
22:49:01	48043/48043	---M--	200	added ('OK')	image/png	etag:%226229c592-bbab%22	https://templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner4.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner4.png	(from https://templates.hibootstrap.com/naon/default/faq.html)
22:49:01	32662/32662	---M--	200	added ('OK')	image/png	etag:%226229c593-7fb9%22	https://templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner5.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner5.png	(from https://templates.hibootstrap.com/naon/default/appointment.html)
22:49:02	21687/21687	---M--	200	added ('OK')	image/png	etag:%226229c592-54b7%22	https://templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner13.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner13.png	(from https://templates.hibootstrap.com/naon/default/team.html)
22:49:02	25936/25936	---M--	200	added ('OK')	image/jpeg	etag:%226229c5a0-6558%22	https://templates.hibootstrap.com/naon/default/assets/images/team/team-img4.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/team/team-img4.jpg	(from https://templates.hibootstrap.com/naon/default/team.html)
